x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72
6.763139742388781e-11,4.370078889025878e-11,2.356707857042083e-11,5.2274234428557634e-11,2.0310580816088985e-10,3.8241587642213806e-10,5.308673350450754e-10,7.426735869915827e-10,2.389526540303671e-10,5.292236424939864e-10,1.1303051586609902e-9,1.2332463928254863e-9,3.8889602530955264e-9,2.823145235502665e-9,6.500463229621914e-9,2.2364126783448998e-9,4.1730406348644155e-9,2.1659460518981064e-8,4.393861408953395e-9,2.2432110704553807e-8,5.966763062070463e-8,7.960446450024428e-8,7.065077850750825e-8,5.1231813129006296e-8,7.706302797009791e-8,3.196888317359088e-7,1.2219232635203177e-7,2.894108179667845e-7,7.951633297420374e-7,8.42930464139139e-7,6.028606562028418e-7,9.888684314160555e-7,1.3166939846415902e-6,2.050292553723853e-6,2.196954386783424e-6,1.1995652026669462e-6,7.656025486199593e-6,3.57505570865777e-6,4.491376839392919e-6,4.25560707850358e-6,4.2504812950061366e-6,8.682873152045149e-6,7.195951390867088e-6,7.621712408731046e-6,1.1379407840296822e-5,8.840837735314961e-6,9.755625925242986e-6,2.0567060212566847e-5,1.4225125781287853e-5,2.2460488877384164e-5,1.3773159789086754e-5,1.182859636281213e-5,1.83384910190791e-5,2.136792237761807e-5,3.1675641962979965e-5,3.8525990588778296e-5,5.193526175181331e-5,7.246890383664192e-5,0.00011674491503310338,0.0001420985935707497,0.00020821730507889706,0.0002830910589714242,0.00041419548359045285,0.0005373294679726163,0.0007268239059722773,0.0009823781866395498,0.0007899484372488827,0.0010892879951290837,0.0006292393747513979,0.0006437840066800293,0.0008273734559533703,0.0017930139837831285
6.59820771119151e-11,4.422150396038748e-11,2.2857195602865075e-11,5.363927102881982e-11,2.053898273422523e-10,3.825990962291914e-10,5.291865974460215e-10,7.421142941224632e-10,2.3138153346749475e-10,5.429318132859885e-10,1.1465226628679232e-9,1.2106803685012767e-9,3.908486076815161e-9,2.8587763221539776e-9,6.435793229976078e-9,2.3154240127344115e-9,4.115541332939086e-9,2.165474779106435e-8,4.226514851002553e-9,2.2326688350281358e-8,5.965428235445101e-8,7.935073198360833e-8,6.928306887443738e-8,5.267418337416067e-8,7.757251359760274e-8,3.190927515699275e-7,1.1921541430640953e-7,2.888024615994275e-7,7.887902039393801e-7,8.317510308552752e-7,6.16748335369624e-7,9.79373212274144e-7,1.3209674720829157e-6,2.041139720984976e-6,2.258262626299124e-6,1.2104863360927712e-6,7.4769114368229365e-6,3.5675635562992867e-6,4.356564192529791e-6,4.246803167659874e-6,4.287112356371708e-6,8.87038743056054e-6,7.195951390867088e-6,7.337848947561833e-6,1.2308595711344534e-5,8.140146119100687e-6,9.521889728249137e-6,2.0567060212566847e-5,1.3762069379221845e-5,2.1981407547565264e-5,1.1217351983816135e-5,1.0880936278305725e-5,1.5007532182503454e-5,2.0378206947949927e-5,2.9341328448467062e-5,3.8525990588778296e-5,5.257972269520152e-5,6.884105382184675e-5,0.00011674491503310338,0.00013679308477404568,0.00020727795054742591,0.0002830910589714242,0.00041419548359045285,0.0005373294679726163,0.0006999598040887371,0.0009823781866395498,0.0007739637704506642,0.0010887510513946284,0.0006273937434333032,0.0006258902241426277,0.0008232283553946052,0.0017930139837831285
1.1301838180606665e-10,1.6826451506826084e-11,3.922065038586574e-11,1.482290760587743e-10,2.7346478297039203e-10,3.77608924210947e-10,5.298321396500798e-10,1.6919651958788016e-10,3.818917068763797e-10,8.341259927178861e-10,8.799799385139346e-10,2.786376967914009e-9,2.052642298759535e-9,4.638612880868838e-9,1.6389418113245057e-9,3.032741811645641e-9,1.5478431796238982e-8,3.005873764926411e-9,1.565077439503546e-8,4.2610124777609864e-8,5.683581617433809e-8,4.971914555261258e-8,3.674952300591873e-8,5.3996509644554204e-8,2.2746416627398342e-7,8.465772990197493e-8,2.0766571201856462e-7,5.672660666160124e-7,5.948275794516315e-7,4.48144912212609e-7,7.070207510585656e-7,9.238635483047895e-7,1.426784731338941e-6,1.6690935680564605e-6,8.367951019643849e-7,5.447125554361159e-6,2.520550421945584e-6,2.995602392309171e-6,6.675935415774917e-6,3.0346235906852056e-6,6.6670889428129754e-6,8.045959123801592e-6,5.160811592790688e-6,8.791854079531815e-6,1.44663338378281e-5,5.9747794855392635e-6,1.436598616676837e-5,1.5954686393437337e-5,1.5392193156063373e-5,1.639947257337551e-5,9.378035660751698e-6,1.1199765409214973e-5,1.172136434989261e-5,2.0958091748905035e-5,2.7518564706270226e-5,3.755694478228681e-5,5.078605809103157e-5,7.714477673318459e-5,9.77093462671755e-5,0.0001480556789624471,0.00020220789926530305,0.0002958539168503235,0.00036754239002934123,0.0005183411930295324,0.0006964431557737903,0.0009491477407468793,0.0007776793224247345,0.00108354927863093,0.0006218188530408489,0.0006258902241426277,0.0008232283553946052,0.0017930139837831285
1.1251826381534529e-10,1.6299108378524094e-11,3.898919618175293e-11,1.4573701712213046e-10,2.7326560078510733e-10,3.7724235786706526e-10,5.30400929272455e-10,1.7134416546789504e-10,3.810432160769334e-10,8.293373099824211e-10,8.910033398409264e-10,2.800857839067938e-9,2.021358626799098e-9,4.7004594665107185e-9,1.6439632267790241e-9,3.118656363448245e-9,1.5499655080175082e-8,3.197181240811341e-9,1.5460149133596755e-8,4.2621490606776266e-8,5.7083062526739445e-8,5.06756553417558e-8,3.676641848912329e-8,5.4205364542389823e-8,2.271379910128201e-7,8.293784056972021e-8,2.074452883719527e-7,5.713085120674086e-7,5.901863052437461e-7,4.509464764708323e-7,7.165325445889955e-7,9.092849518603285e-7,1.4444208793502934e-6,1.660332766649464e-6,8.175594867687717e-7,5.447125554361159e-6,2.5376857858053812e-6,2.865755743218099e-6,6.679352243458794e-6,3.0728823205110676e-6,6.402929098299938e-6,8.045959123801592e-6,5.137382795587984e-6,8.92459929522531e-6,1.4488101576203609e-5,6.339222150702504e-6,1.4661474823296237e-5,1.5954686393437337e-5,1.5392193156063373e-5,1.639947257337551e-5,8.622241291093292e-6,1.0646280195060253e-5,1.172136434989261e-5,2.0958091748905035e-5,2.822238571816345e-5,3.755694478228681e-5,5.078605809103157e-5,6.777934915235269e-5,9.484339409287633e-5,0.0001480556789624471,0.0001979175670929309,0.0002958539168503235,0.00036754239002934123,0.0005183411930295324,0.0006964431557737903,0.0009256222174147302,0.0007641209727940424,0.0010641761568447009,0.0006218188530408489,0.0006258902241426277,0.0008232283553946052,0.001781990732265296
4.222776076080131e-11,2.672087077147803e-11,1.0587501846940505e-10,1.9492206757610022e-10,2.7003313787096193e-10,3.7853982559835057e-10,1.266954410438583e-10,2.732181136730378e-10,5.868043709557514e-10,6.245482003567957e-10,2.007089247557866e-9,1.4531212666649032e-9,3.395845885029593e-9,1.1674626944492316e-9,2.255272462397814e-9,1.107018018193155e-8,2.2972620453701343e-9,1.1172638355325385e-8,3.04447159181064e-8,4.0601956341253297e-8,3.683768801008524e-8,2.598073476784154e-8,3.922973540567268e-8,1.6263126476282215e-7,5.806405336575583e-8,1.501964486812985e-7,4.05557274805936e-7,4.2990487352335815e-7,3.2184035926505827e-7,5.213855419228865e-7,6.530271901978569e-7,1.029040314750003e-6,1.5239184164881826e-6,5.562463496874405e-7,3.9715299625902575e-6,1.868360756031462e-6,4.415620950362162e-6,4.741333939436832e-6,4.137811310346437e-6,4.709251588164281e-6,6.049631536352227e-6,3.5537385147083645e-6,8.820793415672494e-6,1.0045390054960707e-5,1.2613348304908974e-5,9.326422029027031e-6,1.069129992782295e-5,1.12852100035015e-5,1.571761916777279e-5,1.6165991204147696e-5,6.353356061044168e-6,1.2071137807530602e-5,1.3308689476592524e-5,1.5475419299398882e-5,2.482287205955941e-5,3.527467345527178e-5,4.841382082310904e-5,6.774528149491167e-5,0.00010496879854756144,0.00014136969078066495,0.00020924921618928495,0.0002625302785923866,0.0003595367676111791,0.0004926900574620093,0.0006645300033717293,0.0009256222174147302,0.0007429051103693506,0.0010697693619116594,0.0006218188530408489,0.0006258902241426277,0.0008124583376572134,0.001781990732265296
4.185218966134659e-11,2.560777227898637e-11,1.0599418110801689e-10,1.9513716616229844e-10,2.7012680189399063e-10,3.790896711416855e-10,1.2306166242286455e-10,2.7171573687147674e-10,5.834821039915441e-10,6.373346693757015e-10,1.9981932878476877e-9,1.4360971331146606e-9,3.363362197311973e-9,1.1336753485476794e-9,2.200082410781522e-9,1.10603991278904e-8,2.4417960133046397e-9,1.1151943135598612e-8,3.0451424455550765e-8,4.0693022113745996e-8,3.638092386272393e-8,2.6286085112266583e-8,3.953241622261015e-8,1.628411009194413e-7,5.763445387956176e-8,1.4746772770178694e-7,4.0522765826697177e-7,4.248551148659479e-7,3.2399454908271786e-7,5.329873233886978e-7,6.678335782756801e-7,1.0027875499836424e-6,1.5059855362905282e-6,5.538682900980328e-7,4.056314679983929e-6,1.8989058301192497e-6,4.31498289228092e-6,4.779553607867655e-6,4.320222897151619e-6,4.5111613942956954e-6,6.261081577552603e-6,3.257993504703587e-6,8.554019866015715e-6,9.982192739834526e-6,1.169548393869516e-5,8.47649911734173e-6,1.0767898085036977e-5,9.864101065663113e-6,1.7618916502392035e-5,1.6165991204147696e-5,5.119498315207475e-6,9.159743922965073e-6,9.511884326153364e-6,1.1257883587127323e-5,2.0740487315801415e-5,3.527467345527178e-5,4.7844176438078006e-5,6.239929939059033e-5,9.767033800270264e-5,0.00014136969078066495,0.0002023063493840887,0.0002625302785923866,0.000347157683158812,0.0004860099966107266,0.0006471129284628735,0.0009256222174147302,0.0007429051103693506,0.0010465000692456649,0.0006218188530408489,0.0006200734277139375,0.0008124583376572134,0.001781990732265296
6.44156893442206e-11,7.468055834841192e-11,1.3942893708358691e-10,1.9242269808031155e-10,2.702574072869839e-10,8.477204164160608e-11,1.978492207588448e-10,4.223868254156179e-10,4.5868029996282775e-10,1.430832948974514e-9,1.0073323914897655e-9,2.3732886722954157e-9,7.890289531157985e-10,1.5247597178205743e-9,7.89727170857701e-9,1.689559584937267e-9,7.902557852489056e-9,2.175442957808451e-8,2.8978854529845665e-8,2.5390393295291747e-8,1.8241768489108377e-8,2.8254815650461572e-8,1.1632745687866758e-7,4.128101395307958e-8,1.0695407499845853e-7,2.9078274909188913e-7,3.085264990985005e-7,2.25664100002609e-7,3.720670900123091e-7,4.6667227612807205e-7,7.055445714656302e-7,1.0978107494130332e-6,3.940493281962461e-7,2.9326333044815634e-6,1.4024682334203153e-6,2.973371760242236e-6,3.4385553829523803e-6,3.1320479840266255e-6,4.144448947233097e-6,4.555644823163657e-6,6.224963174902276e-6,6.0661260596563735e-6,7.535468540190923e-6,7.890934875266785e-6,9.097410737077762e-6,6.843265828861617e-6,1.1179095809125173e-5,1.2349074735444338e-5,1.2180969874338231e-5,1.9563146046141762e-5,8.472690911730281e-6,7.089124208937408e-6,1.0034216697806645e-5,1.4814633797001006e-5,2.627689965413803e-5,3.41744117414843e-5,3.855084282742112e-5,6.976452714478761e-5,0.00010100081594548495,0.00014280426572690018,0.00017874368134284196,0.0002479697736848657,0.0003302694739912112,0.0004401014289519209,0.0006343343103828643,0.0006376544032534857,0.0007475000494611892,0.0010148598419199707,0.0006031900122271376,0.0006200734277139375,0.0008026187644789129,0.001781990732265296
6.208149864026082e-11,7.550449429918855e-11,1.3942362695122853e-10,1.926162567729538e-10,2.708037737100681e-10,8.735424921313314e-11,2.018232843396039e-10,4.253545010269417e-10,4.6508802868602283e-10,1.4300629940564852e-9,9.892618912046383e-10,2.3997824621185547e-9,7.822888067611081e-10,1.4821913727129848e-9,7.899414985437411e-9,1.756127406736067e-9,8.042185624465999e-9,2.1754476509169316e-8,2.895430999731662e-8,2.513382062342663e-8,1.7835302755698007e-8,2.8503472882591085e-8,1.16202649077256e-7,4.226612229562898e-8,1.0794922611401469e-7,2.919671117891477e-7,3.023344079545796e-7,2.242848644511879e-7,3.7444483801483487e-7,4.7636928763467187e-7,6.830535205344515e-7,1.0869733444613833e-6,4.077893319332e-7,2.8621953184822905e-6,1.3741580689500955e-6,3.0300889277665565e-6,3.363497671809226e-6,3.3125388086932133e-6,4.246540145630636e-6,4.685048928356162e-6,6.014792620617269e-6,6.234465196626858e-6,7.016424607462504e-6,8.052873276033662e-6,1.0029500880880161e-5,6.654943414259244e-6,1.1179095809125173e-5,1.195980734727261e-5,1.2180969874338231e-5,1.9813298635121282e-5,7.648621789941235e-6,5.917094975954495e-6,8.808492686131428e-6,1.101985647533572e-5,2.263091512829734e-5,3.41744117414843e-5,3.112566235750569e-5,6.554618216497568e-5,0.00010100081594548495,0.00014005032342750048,0.00016879258799304547,0.00023228175421386883,0.0003302694739912112,0.0004386139363975276,0.0006092145572163685,0.0006376544032534857,0.0007475000494611892,0.0010148598419199707,0.0005867131284534293,0.0006052978161828666,0.0008026187644789129,0.0017587246422117407
1.8732450716525952e-10,9.949393916259348e-11,1.3789886904229472e-10,1.9355023467470024e-10,6.08708106742296e-11,1.449059994072815e-10,3.0282666786673535e-10,3.256285093554004e-10,1.0181200435893467e-9,6.975234006360316e-10,1.690198229601952e-9,5.482460134189721e-10,1.0268252433640577e-9,5.642498905149783e-9,1.3276442124256765e-9,5.807735240625988e-9,1.553900339153208e-8,2.0757640430423595e-8,1.7631145475597202e-8,1.3093944587207106e-8,2.0264644316481683e-8,8.297342546008846e-8,3.068781441206538e-8,7.847843689460401e-8,2.0773224666327954e-7,2.2034342217361158e-7,1.562609713330716e-7,2.713959053730499e-7,3.3983711928637e-7,4.861265909806753e-7,7.875104474481049e-7,5.73144607331778e-7,2.04659857733638e-6,9.592007746137867e-7,2.160418631428158e-6,2.3562416917542745e-6,2.318213184740726e-6,3.0347010473775218e-6,3.1923881825392214e-6,4.20371095253759e-6,5.775160802181255e-6,5.173021906938533e-6,8.581465988793118e-6,6.604654718454591e-6,1.1524527739194611e-5,7.165241659339333e-6,8.542719533766157e-6,1.1534694802616112e-5,1.2520756637988396e-5,1.527835636355552e-5,7.33379309613779e-6,6.291780490093878e-6,7.750897812303584e-6,1.472561585887797e-5,2.441029410106023e-5,2.2232615969646925e-5,4.6353721775009845e-5,7.149062132404027e-5,9.754681789038804e-5,0.00012056613428074678,0.00016591553872419203,0.00023590676713657944,0.0003132956688553767,0.0004311358690986129,0.00046964856971629516,0.0006292403537195195,0.0007330839220111768,0.0010068794472450071,0.0005661327929173828,0.0006019392528947287,0.0007839276699361647,0.0017587246422117407
1.849871239135721e-10,9.959254232264619e-11,1.3802399280595372e-10,1.9386077509445778e-10,5.903282531587104e-11,1.43114300053176e-10,3.0511176347305287e-10,3.2312634215411535e-10,1.018261332903712e-9,6.921542377357377e-10,1.7075229344744128e-9,5.636610699687045e-10,1.056124745400452e-9,5.646326081177047e-9,1.3294180121915997e-9,5.75782661797834e-9,1.5538853113820182e-8,2.066080088704258e-8,1.7564564071439194e-8,1.3087662240916452e-8,2.0289032077277907e-8,8.287452091116249e-8,3.146357257911721e-8,7.70376779064872e-8,2.0679136622166097e-7,2.2404550331786403e-7,1.5627552214450883e-7,2.652121572131415e-7,3.3939305200186885e-7,4.928895868587496e-7,7.887707500580193e-7,5.51080447229351e-7,2.0931294680413247e-6,9.419588221453762e-7,2.1636582866169413e-6,2.30838535679049e-6,2.214924353597757e-6,2.903826773468574e-6,3.0284770702316075e-6,4.0383091349199085e-6,5.800817046361974e-6,5.173021906938533e-6,8.764518706398285e-6,6.603966604303713e-6,1.1524527739194611e-5,6.777416120216973e-6,7.3089291537313695e-6,1.1534694802616112e-5,1.172742063593674e-5,1.2960934729876101e-5,6.516051436991927e-6,4.882301585059808e-6,5.5498638283643865e-6,1.1335247947211398e-5,2.441029410106023e-5,1.8378476150430786e-5,4.6353721775009845e-5,6.488163600877052e-5,9.439536428947264e-5,0.00012056613428074678,0.00016616492879909978,0.00023590676713657944,0.0003132956688553767,0.0004269990767229812,0.00046964856971629516,0.0006085175254204257,0.000710094088993678,0.0010068794472450071,0.0005597047571080509,0.0006019392528947287,0.0007839276699361647,0.0017587246422117407
