x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72
9.44861282367674e-11,5.857678624214455e-11,3.4930336028424093e-11,1.6984414297736864e-12,1.378224478080487e-10,2.527518161190475e-12,5.189872949649179e-10,1.7983459430354878e-10,3.287673255844516e-10,2.599676274575401e-11,3.0623250352518084e-10,9.231737759501617e-11,1.5094771335898258e-9,1.2589380500836164e-10,8.051622072394419e-11,7.708057396032076e-9,1.3500318248780979e-8,1.635625733442018e-8,2.8615871425212894e-8,2.030301095405087e-8,5.974238838397161e-8,5.4870495096727784e-8,6.193073976448169e-9,1.4108819317286018e-8,4.688608333473731e-10,9.539784732122934e-8,4.3782297869938853e-7,6.274894553272293e-7,7.062722905833821e-8,1.0329897119416556e-6,1.346464614029525e-6,6.325923334599638e-7,1.4463073035913848e-6,4.433122416275337e-6,2.0148240248671653e-6,1.3690003367470918e-6,8.954130720742591e-6,2.5104415157355144e-6,1.84516000798554e-5,6.296192923947426e-7,1.8593644036216274e-5,2.4383957599036356e-7,9.758348451094627e-6,3.6835815695383417e-6,4.362815403817696e-6,3.247384695231571e-7,7.52211612970382e-7,6.160722929594853e-7,1.8829874263399264e-5,1.1116545863020912e-5,2.016001416106514e-6,3.041941402472838e-6,4.009789615828553e-6,2.188905742389102e-5,6.453691072833249e-6,9.15849984792873e-6,1.2949350944251875e-5,2.5427164584827503e-5,3.677514988923502e-5,3.62099704998701e-5,4.904135759482863e-5,7.708904655735157e-5,0.00010452358409439931,0.00013643132385501462,0.00019471797659003918,0.0002817713280723192,0.0003649975284904891,0.0005178151654365713,0.0007253248725818626,0.0010404026828689018,0.0014288618101268892,0.004909484179670117
9.399246463594368e-11,5.279535179448428e-11,4.225932801017231e-11,2.7816257269681293e-12,1.448804074658185e-10,9.308743935684932e-13,5.299397167914093e-10,1.9541146712396152e-10,3.516575341741218e-10,3.4265373575803326e-11,3.4110435388762246e-10,6.816952819853916e-11,1.6716892949205263e-9,7.050766862859975e-11,1.480338279817085e-10,6.954542635957431e-9,1.2642968876625852e-8,1.605226734502378e-8,2.917363782252444e-8,2.1534738869971665e-8,5.962830638640536e-8,5.789151831561103e-8,5.573052765104294e-9,1.4708363511414927e-8,1.4472145144444791e-9,1.1198654042732873e-7,4.4261158772970417e-7,6.293662250818365e-7,7.28678374582968e-8,1.0249200003581006e-6,1.3485024841098206e-6,6.621082841982947e-7,1.4776674097404907e-6,4.432038515801501e-6,2.016172371134881e-6,1.1635157466105768e-6,9.017832319718169e-6,2.0902490350284087e-6,1.7172203539290136e-5,7.83016719202884e-7,1.8593644036216274e-5,7.588929072472674e-7,7.4028902388878915e-6,2.0263805690178037e-6,6.642198835243745e-6,3.117987408294258e-7,5.136128587413091e-7,1.445951969406219e-6,8.48254343453154e-6,4.400258190787602e-6,1.688704129195173e-6,3.041941402472838e-6,4.0306894119264525e-6,1.3035619545808934e-5,6.446612574501899e-6,1.1019499136731788e-5,1.6731366257757392e-5,2.000165153262853e-5,3.6109900276501605e-5,3.6250065921514124e-5,5.070418606410678e-5,6.990759066946278e-5,0.00010452358409439931,0.00013765635777956037,0.00018707533445385747,0.0002817713280723192,0.0003649975284904891,0.0005178151654365713,0.0007378838007763108,0.0010404026828689018,0.0014288618101268892,0.004908395511563783
1.4986518594754824e-10,2.8647611720027665e-11,2.1709695459391585e-12,9.511452076413043e-11,4.304901674847155e-13,3.795076109382669e-10,1.5172902200947837e-10,2.6268273723521934e-10,1.2850071747426634e-11,2.78154117976283e-10,4.2680671338967423e-11,1.2613735178026403e-9,5.6420956968311784e-11,1.2108998786035667e-10,5.495775192209207e-9,8.702031761274636e-9,1.2224407725685669e-8,2.095845216162805e-8,1.5585872946724987e-8,4.2725739164147906e-8,4.315648969637266e-8,2.5114616704045866e-9,1.1587152577256823e-8,1.7595027396642046e-9,7.81987301191356e-8,3.1655840616020094e-7,4.495531920991638e-7,5.320892426947382e-8,7.347102484598195e-7,9.787453587080823e-7,5.182831710792231e-7,1.2050019608277606e-6,3.1167227326688994e-6,1.3793313301897265e-6,8.213673352362105e-7,6.040176265542529e-6,1.9255581423274196e-6,1.2668608870125123e-5,8.506238931001248e-6,1.464124967016962e-5,1.1462803177235987e-6,7.055684863375952e-6,2.057170899789598e-6,3.807001933909135e-6,4.806111577919816e-6,3.1166841837095767e-7,9.109124776738654e-7,5.1382093812393065e-6,3.6112632863061377e-6,1.2581113896681256e-6,2.9804468174995586e-6,2.8790638656617523e-6,3.320651749902725e-6,7.786515650479403e-6,7.168545022406855e-6,1.1950975898398141e-5,1.6584219481677332e-5,1.7952785929637122e-5,2.4823095198155395e-5,3.4940907910470845e-5,4.9075307263841195e-5,6.788885763704883e-5,0.00010329288033632909,0.0001330093187946582,0.00020126523433737067,0.00026696267416920585,0.00037192448773709,0.0005270598576973652,0.0007358911439851578,0.0010206155786620637,0.0014049489832477996,0.004907927642948944
1.3306526078266758e-10,3.224755704989258e-11,1.0494453585872544e-12,8.852342664631439e-11,4.1762264134602064e-13,3.8109085699521083e-10,1.69290906824388e-10,2.30208526003151e-10,2.644669410405502e-11,2.464115841145042e-10,4.1666545837783374e-11,1.2281373682903047e-9,3.186338346179294e-11,5.94680009582333e-11,5.516930612307891e-9,8.996398382366195e-9,1.1969106244014013e-8,2.0890015336461923e-8,1.662397418117759e-8,4.269155701741856e-8,4.490053440236292e-8,3.279700801303296e-9,1.4383208340739653e-8,1.8091908751152553e-9,6.969039693383022e-8,3.148213829966603e-7,4.487101863867577e-7,6.668937577487165e-8,7.010776621527014e-7,1.028230582130474e-6,4.620091847098303e-7,1.2423504956562276e-6,3.1254735542974894e-6,1.6181877925694645e-6,9.112859647940963e-7,6.467936894228794e-6,2.1328512534930507e-6,1.1741602076257451e-5,8.481725951718842e-6,1.4077400225808669e-5,1.2547402763824475e-6,5.457419456238492e-6,1.887801095407712e-6,6.048528986388366e-6,4.736374074286592e-6,8.002050255566019e-7,2.3620655390465002e-6,2.233165437137161e-6,2.2553084801025156e-6,1.2581113896681256e-6,2.9804468174995586e-6,2.8790638656617523e-6,3.320651749902725e-6,4.5991447042507236e-6,7.168545022406855e-6,1.279482869325942e-5,2.8780028459125348e-5,1.777933780327094e-5,2.4823095198155395e-5,3.4940907910470845e-5,5.073512808117934e-5,7.039512647167526e-5,9.899798517809675e-5,0.0001339228566795684,0.00020126523433737067,0.00026696267416920585,0.00037192448773709,0.0005251146024896953,0.0007358911439851578,0.0010102404759661273,0.0014023704660597039,0.004907364730291391
6.551963938020788e-11,1.1099748792725766e-12,5.631671759386412e-11,2.360648067581513e-13,2.7256750105760304e-10,1.0939903731305059e-10,1.5712261260297523e-10,2.7273593606805803e-11,1.77858137949252e-10,3.0093194335313686e-11,9.78146431369015e-10,1.1642565058171957e-11,4.82775802426346e-11,3.741745196335233e-9,6.083391019176624e-9,8.177051304355653e-9,1.5102128225694685e-8,1.161545432384049e-8,3.05283678831539e-8,3.12262789104482e-8,3.064278210607272e-9,9.362235612756826e-9,9.227327980908746e-10,4.5734552559333874e-8,2.2756822389645637e-7,3.209134959237745e-7,4.925656998737654e-8,4.860920268485941e-7,7.246350712512176e-7,3.442179782742599e-7,8.384760132415546e-7,2.23315398640102e-6,1.1530237648425041e-6,6.427549951989584e-7,4.725330467345818e-6,1.6261494280406334e-6,8.716137651269082e-6,6.605665214663458e-6,1.0176453743718478e-5,2.08164136128073e-5,4.902251943211546e-6,6.879052648282414e-7,4.96290414756778e-6,1.955787339691989e-6,1.4937100500449222e-6,8.135388139501089e-7,7.561168955790709e-6,1.8583704859062234e-6,8.76200429621177e-7,6.392004019556279e-6,1.8299880723786487e-6,2.346777477038267e-6,1.4445360063408146e-5,5.1203893017191794e-6,2.024466628997813e-5,3.128541441470566e-5,1.3075731493902768e-5,2.3759324722157482e-5,2.4957791364622038e-5,3.5533262975809206e-5,5.0140692330343335e-5,7.597106847058964e-5,9.546455179567463e-5,0.00014882594189390076,0.00018836538250444103,0.0002607056396889618,0.00036995259393316507,0.0005250304933674559,0.0007195212888577775,0.0010016931900426458,0.0014021031675663786,0.004911780637889493
7.210492209275334e-11,3.8520853282198546e-13,6.037489997810108e-11,2.660206175286448e-13,2.734137776210486e-10,1.008112620964329e-10,1.783008532836889e-10,2.0540965957669365e-11,1.6018460774553886e-10,2.66985158523461e-11,1.0226632259913458e-9,2.431589207363622e-11,6.867507280632506e-11,3.5617328472330225e-9,5.908520292891728e-9,7.391053166997861e-9,1.4850569820943337e-8,1.266605626062659e-8,3.046341536787148e-8,3.227752869363236e-8,4.181815315131838e-9,9.274179287794783e-9,1.151188358313174e-9,5.435214287223679e-8,2.2806444885836348e-7,3.2179411346783865e-7,5.0925146440991056e-8,4.467018725145762e-7,7.45382393055429e-7,3.0676820675610824e-7,7.367127005084513e-7,2.1444857426601975e-6,1.3676264963570617e-6,5.037149306612263e-7,4.787789724771665e-6,1.709119046577399e-6,8.396362348617688e-6,7.039561028468366e-6,9.375176859291422e-6,1.9407409729238716e-5,4.042258622796625e-6,2.592838283198208e-7,5.738072777427659e-6,1.3074791494877595e-6,2.349181944679954e-6,1.7011453881156306e-6,7.1520457305533784e-6,4.522366923702183e-6,1.1666090759991033e-6,3.265165491448361e-6,1.8299880723786487e-6,5.520240601520099e-6,3.6059739145107667e-6,5.1203893017191794e-6,1.1288415494058548e-5,3.128541441470566e-5,1.3075731493902768e-5,1.79516065373132e-5,2.5172949246570967e-5,3.464540644365211e-5,5.3545213473353316e-5,7.597106847058964e-5,9.557443636119204e-5,0.00014882594189390076,0.00018836538250444103,0.00026655834474171073,0.0003672527026253402,0.0005250304933674559,0.0007156975597705562,0.0010024838616085993,0.0014021031675663786,0.004907634433603189
2.3334254672237533e-12,3.7027508222131705e-11,4.1272131411040855e-13,1.93329851928079e-10,7.933295639759011e-11,1.1211119527328463e-10,7.51723487707361e-12,1.039944508205485e-10,8.446912862932554e-12,8.027302687837973e-10,2.0536417107257754e-11,5.360543513215736e-11,2.7014986025062094e-9,4.003817558096025e-9,5.011168835199181e-9,1.0229315934939244e-8,9.380191056551088e-9,2.180078656718968e-8,2.2068437711570856e-8,2.3289345221488846e-9,5.065136465069468e-9,1.1292019187471418e-9,3.787837678932302e-8,1.6374493854618937e-7,2.29610045921296e-7,4.480460688083645e-8,3.407191351853431e-7,5.108502752163677e-7,2.267589839265242e-7,5.365953682905769e-7,1.6004812114531411e-6,8.682957294128559e-7,3.4805304416880925e-7,3.470982612320666e-6,1.173755311967532e-6,5.581005348407409e-6,5.182591537109995e-6,6.7983292190675e-6,1.2927363599011891e-5,1.1052681347538562e-5,5.874132504300631e-8,3.967076147842695e-6,4.787192696992799e-7,1.0184837575631337e-6,5.939825540516041e-7,3.0452638784056686e-6,2.964438075229316e-6,4.261086455032062e-5,2.5548015526042926e-6,2.454962823415817e-6,3.9430290010857865e-6,7.898097305720747e-6,3.960213412969582e-6,2.1284854203970393e-5,2.2346724581932624e-5,9.339808209930552e-6,1.2822576098080851e-5,1.798067803326498e-5,2.4807951335397254e-5,4.6715181271981254e-5,5.426504890756403e-5,6.859514506861614e-5,0.00010883233562208902,0.00013454670178888656,0.00020096118010986584,0.0002614310541001887,0.0004031706124752987,0.0005112529132045121,0.0007161539181296516,0.0010290597670002135,0.0014028967354297857,0.00490802391446659
7.69192225109358e-13,3.431565011682509e-11,1.2138598302200228e-12,1.9376763187726105e-10,7.409675127132448e-11,1.1165849828910738e-10,1.3859860785372367e-11,1.2899334938096514e-10,9.626553965043266e-12,8.319627484387993e-10,2.1105826075521932e-11,2.8058187741844604e-11,2.4803337559598953e-9,3.6875955997718626e-9,5.304456000811707e-9,1.0568343192567338e-8,8.589405741151013e-9,2.180505735098586e-8,2.0876298552554916e-8,2.826609784814761e-9,4.7659931527061005e-9,1.0362167515384e-9,3.4524714865267874e-8,1.6273832876746888e-7,2.2906076327048894e-7,5.610866152429219e-8,3.597573737915224e-7,4.879135488226955e-7,2.8173945271622285e-7,5.960915826667289e-7,1.6235479804484548e-6,8.294340008457931e-7,2.767723366670344e-7,3.27731861803343e-6,1.1955210964338485e-6,5.3744838216972365e-6,5.707885181123279e-6,6.514657924746136e-6,1.213439719711476e-5,1.0513050657315478e-5,5.989838851400724e-8,3.257207283794717e-6,2.7639703495290614e-7,4.6847529661267397e-7,4.01737221454194e-7,1.523366845960542e-6,5.693858050431696e-6,3.369625563294361e-5,5.521708245370846e-6,4.843469873022262e-6,3.9430290010857865e-6,2.371514601905654e-6,3.3735815781832277e-6,8.302880910315816e-6,2.2346724581932624e-5,1.2895611543170283e-5,1.2638019431757435e-5,1.9863872721042625e-5,2.6181365223762812e-5,3.692473686729584e-5,5.732318522485877e-5,6.960272243738864e-5,0.00010674987546897279,0.00013531276077839998,0.00019697618199818992,0.00026071010751577947,0.0004031706124752987,0.0005127491599568661,0.0007237870178257712,0.0010115644457154638,0.0014078260046182657,0.004907654134672778
9.012546209121162e-11,4.901552994071099e-13,1.3762163090441274e-10,5.4961194947917376e-11,8.093800452878461e-11,7.043112860623939e-12,9.261241312943722e-11,9.81172144319816e-12,6.280240628658155e-10,8.242366780531456e-12,4.757225322100388e-11,1.8823205850891008e-9,2.6588932938608098e-9,3.5363012975174576e-9,7.308560949792322e-9,6.190190627350781e-9,1.5520265517249895e-8,1.3846989153657249e-8,2.2191213719166827e-9,2.4706726223366837e-9,9.429214126624185e-10,2.0893107303180903e-8,1.1451188798562731e-7,1.6206184350274656e-7,3.9890191809641624e-8,2.667544661066847e-7,3.353068788443409e-7,2.3186173836296036e-7,3.702348703039979e-7,1.1470996277615244e-6,6.654985435940575e-7,2.212170359674246e-7,2.401548624898188e-6,9.162331766812163e-7,4.056309668969536e-6,4.521411561069087e-6,4.892018914342292e-6,8.275567690857496e-6,8.345475960696051e-6,6.74100862347113e-8,2.8060401675309906e-6,5.848158984563049e-7,1.1460934433466408e-7,6.870469842981535e-7,2.7008650455894727e-6,2.7013315868301506e-6,3.284816452020038e-5,7.338976945046801e-6,6.334626627806863e-6,2.816449286489847e-6,4.190492809601952e-6,2.561887403821536e-6,4.071473615075951e-6,1.596194612995187e-5,1.3605744967462963e-5,9.124425618646665e-6,1.4188480515030438e-5,2.0988558356928313e-5,2.6374812048068466e-5,4.0945132303470556e-5,6.935569382594012e-5,6.804880717707782e-5,9.558976685190349e-5,0.00014216001754716536,0.00019098987036819434,0.0002879790089109278,0.00036821035237091646,0.0005166112717778274,0.0007225460326539023,0.0010015070857240648,0.0014021868956207936,0.00490762221267367
9.482500447473757e-11,5.385259474729861e-13,1.391264197228762e-10,5.001507198559627e-11,9.200920989225839e-11,7.750701886129831e-12,1.0331736578482214e-10,1.2712888676730111e-11,6.523300367215941e-10,4.327031130082484e-12,8.237577131906794e-11,2.0482432677409096e-9,2.5080852060848674e-9,3.851186924845372e-9,7.499595254620633e-9,6.473843125918445e-9,1.550975755575689e-8,1.2549913742431762e-8,1.6211679972403274e-9,1.7109322321154966e-9,1.9742204016008294e-9,2.049854281727891e-8,1.1213414973826504e-7,1.6152639984992975e-7,4.8640150308710666e-8,2.84209578683951e-7,3.4838093803472837e-7,2.411575155405905e-7,3.948696611739881e-7,1.1767665749311026e-6,5.895642831633592e-7,2.3389755818013194e-7,2.2114366095952243e-6,9.966831426119408e-7,3.851386735044473e-6,4.88730847974152e-6,4.4659698068763175e-6,7.359881641847935e-6,9.281197697064321e-6,4.674504112577749e-8,2.2942986816715836e-6,7.172552161573369e-7,1.7482575760404257e-7,4.2148143039841125e-7,1.1251170228599506e-6,4.470216206231145e-6,2.731661513734228e-5,3.152989092679692e-6,5.494965297440311e-6,3.6741842723251307e-6,3.3020652315288627e-6,8.449300479260429e-6,3.407214008340561e-6,1.9762595898050235e-5,1.3605744967462963e-5,1.1840294958361367e-5,1.27017852779671e-5,2.245033451509078e-5,4.052708649230604e-5,4.3790909044160116e-5,6.935569382594012e-5,6.802063936040937e-5,9.502537927336729e-5,0.00013565770358077247,0.00019098987036819434,0.0002804325973462131,0.00036821035237091646,0.0005113444019039207,0.0007225460326539023,0.0010022335551562447,0.001405611303618422,0.004914668542206274
