B40,ex
1.0,0.95
0.993,0.98
1.0,0.97
1.0,0.97
1.0,0.93
0.993,0.89
0.99,0.86
0.967,0.81
0.98,0.73
0.97,0.59
0.947,0.62
0.947,0.02
0.9365,0.71
0.9233,0.69
0.9136,0.42
0.9,0.51
0.9233,0.54
0.9565,0.74
0.967,0.8
0.9565,0.81
0.947,0.85
0.9136,0.84
0.92,0.91
0.97,0.91
0.9634,0.71
0.8633,0.34
0.72,0.07
0.5,0.52
0.4734,0.68
0.5034,0.75
0.5435,0.89
0.567,0.9
0.5234,0.73
0.54,0.59
0.533,0.04
0.527,0.13
0.52,0.0
0.53,0.25
0.54,0.0
0.56,0.0
