name,mean,std,F
mag,0.11657449823975032,0.0002815522405753116,98.53070126539782
spc,0.11672661864443587,1.5778030494520365e-5,-304.5950188268978
int,0.11687395932434572,0.00014486377634288138,-210.5721212144229
(sum),NaN,NaN,-206.06431756149996
