name,mean,std,F
mag,0.11665554430031555,9.010533084475825e-5,-292.45684243563323
spc,0.11670902787357972,5.336489970154959e-6,-703.6346177171628
int,0.11675574249918352,4.299054328176092e-5,-1011.0814952463504
(sum),NaN,NaN,-996.091460152796
