B40,ex
1.0,0.94
0.9966,0.96
1.0,0.98
0.9966,0.97
0.993,0.93
0.987,0.91
0.993,0.93
0.9766,0.94
0.9634,0.95
0.9766,0.98
0.9565,0.89
0.953,0.87
0.95,0.9
0.9365,0.88
0.92,0.82
0.8936,0.94
0.8765,0.92
0.85,0.32
0.73,0.52
0.553,0.81
0.547,0.89
0.533,0.92
0.4734,0.82
0.5366,0.87
0.533,0.88
0.53,0.93
0.5835,0.87
0.5864,0.91
0.65,0.89
0.6035,0.95
0.6934,0.91
0.683,0.9
0.73,0.91
0.763,0.91
0.6865,0.93
0.74,0.87
0.7466,0.89
0.79,0.88
0.797,0.84
0.7734,0.0
