B40,ex
0.9824,0.996
0.977,0.999
0.9775,0.997
0.9824,1.0
0.974,0.997
0.973,0.996
0.975,0.993
0.9746,0.995
0.966,0.995
0.9624,0.986
0.9595,0.982
0.9624,0.973
0.962,0.957
0.9507,0.95
0.9346,0.936
0.909,0.889
0.872,0.853
0.836,0.844
0.769,0.803
0.6616,0.753
0.5713,0.757
0.4165,0.83
0.324,0.87
0.2805,0.891
0.227,0.906
0.1755,0.889
0.1605,0.897
0.126,0.878
0.112,0.88
0.096,0.891
0.0775,0.895
0.068,0.887
0.07,0.882
0.0535,0.897
0.0455,0.889
0.033,0.897
0.0365,0.909
0.0205,0.897
0.027,0.896
0.023,0.894
0.013,0.896
0.0165,0.901
0.011,0.883
0.0095,0.89
0.011,0.874
0.004,0.895
0.0055,0.889
0.0065,0.885
0.0065,0.875
0.002,0.884
0.002,0.909
0.0025,0.872
0.004,0.861
0.0015,0.862
0.002,0.846
0.002,0.854
0.0025,0.88
0.001,0.879
0.0005,0.87
0.002,0.86
0.0015,0.871
0.004,0.864
0.0025,0.85
0.003,0.808
0.0035,0.87
0.0035,0.861
0.0025,0.886
0.002,0.885
0.004,0.874
0.003,0.885
0.0025,0.85
0.004,0.0
