B40,ex
1.0,0.97
0.9966,1.0
0.993,0.98
0.993,0.98
0.9834,0.98
0.99,0.97
0.993,0.93
0.973,0.92
0.973,0.91
0.933,0.92
0.96,0.98
0.9233,0.82
0.947,0.84
0.9067,0.9
0.93,0.95
0.91,0.89
0.8735,0.89
0.83,0.87
0.8335,0.0
0.6533,0.92
0.547,0.93
0.4368,0.87
0.4534,0.88
0.52,0.91
0.5366,0.91
0.5366,0.91
0.5234,0.86
0.5835,0.87
0.6064,0.86
0.63,0.9
0.61,0.87
0.7,0.91
0.68,0.94
0.7266,0.9
0.683,0.96
0.72,0.88
0.7666,0.87
0.7734,0.86
0.7734,0.91
0.78,0.0
