B40,ex
1.0,0.99
0.993,1.0
0.9966,0.94
0.99,0.98
0.9834,0.98
0.9834,0.96
0.9766,0.92
0.973,0.96
0.96,0.89
0.97,0.85
0.94,0.81
0.947,0.88
0.9136,0.85
0.9033,0.02
0.8467,0.97
0.8135,0.94
0.717,0.89
0.72,0.89
0.69,0.88
0.6367,0.91
0.5234,0.9
0.4834,0.9
0.527,0.93
0.49,0.89
0.513,0.85
0.5767,0.89
0.56,0.83
0.5566,0.9
0.5635,0.93
0.6367,0.88
0.62,0.85
0.6465,0.85
0.6665,0.91
0.7065,0.9
0.723,0.88
0.757,0.92
0.74,0.9
0.757,0.9
0.7666,0.85
0.82,0.0
